Tiempo Posicion_Euler Velocidad_Euler Posicion_Leapfrog Velocidad_Leapfrog
0.0432 0.0776069 -0.998495 0.077561 -0.998226
0.0433 0.0775071 -1.00044 0.0774611 -1.00017
0.0434 0.077407 -1.00237 0.077361 -1.0021
0.0435 0.0773068 -1.00431 0.0772607 -1.00404
0.0436 0.0772064 -1.00624 0.0771602 -1.00597
0.0437 0.0771058 -1.00817 0.0770595 -1.0079
0.0438 0.0770049 -1.0101 0.0769586 -1.00982
0.0439 0.0769039 -1.01202 0.0768575 -1.01175
0.044 0.0768027 -1.01395 0.0767562 -1.01367
0.0441 0.0767013 -1.01587 0.0766548 -1.01559
0.0442 0.0765997 -1.01778 0.0765531 -1.0175
0.0443 0.076498 -1.0197 0.0764513 -1.01942
0.0444 0.076396 -1.02161 0.0763492 -1.02133
0.0445 0.0762938 -1.02352 0.076247 -1.02324
0.0446 0.0761915 -1.02543 0.0761446 -1.02514
0.0447 0.0760889 -1.02733 0.076042 -1.02705
0.0448 0.0759862 -1.02924 0.0759392 -1.02895
0.0449 0.0758833 -1.03114 0.0758362 -1.03085
0.045 0.0757802 -1.03303 0.075733 -1.03274
0.0451 0.0756769 -1.03493 0.0756296 -1.03464
0.0452 0.0755734 -1.03682 0.0755261 -1.03653
0.0453 0.0754697 -1.03871 0.0754223 -1.03841
0.0454 0.0753658 -1.04059 0.0753184 -1.0403
0.0455 0.0752618 -1.04248 0.0752143 -1.04218
0.0456 0.0751575 -1.04436 0.07511 -1.04406
0.0457 0.0750531 -1.04624 0.0750055 -1.04594
0.0458 0.0749484 -1.04812 0.0749008 -1.04782
0.0459 0.0748436 -1.04999 0.0747959 -1.04969
0.046 0.0747386 -1.05186 0.0746908 -1.05156
0.0461 0.0746335 -1.05373 0.0745856 -1.05343
0.0462 0.0745281 -1.05559 0.0744802 -1.05529
0.0463 0.0744225 -1.05746 0.0743745 -1.05715
0.0464 0.0743168 -1.05932 0.0742687 -1.05901
0.0465 0.0742108 -1.06118 0.0741627 -1.06087
0.0466 0.0741047 -1.06303 0.0740566 -1.06272
0.0467 0.0739984 -1.06488 0.0739502 -1.06457
0.0468 0.0738919 -1.06673 0.0738436 -1.06642
0.0469 0.0737853 -1.06858 0.0737369 -1.06827
0.047 0.0736784 -1.07043 0.07363 -1.07011
0.0471 0.0735714 -1.07227 0.0735229 -1.07195
0.0472 0.0734641 -1.07411 0.0734156 -1.07379
0.0473 0.0733567 -1.07594 0.0733081 -1.07563
0.0474 0.0732491 -1.07778 0.0732005 -1.07746
0.0475 0.0731413 -1.07961 0.0730926 -1.07929
0.0476 0.0730334 -1.08144 0.0729846 -1.08112
0.0477 0.0729252 -1.08326 0.0728764 -1.08294
