Tiempo_A,Analitica,Tiempo,Euler,RK4
0.0333,0.967345,1.20032e-71,2.31943e-52,5.05463e-38
0.0334,0.967248,3.22525e-86,2.10898e-52,1.30353e-76
0.0335,0.967152,2.90702e-33,3.45301e-86,1.12913e-42
0.0336,0.967055,3.85518e-86,1.53451e-52,5.60088e-67
0.0337,0.966958,4.31926e-38,2.89881e-57,9.49624e-43
0.0338,0.966862,1.6578e-76,3.22524e-86,3.5348e-57
0.0339,0.966765,4.4584e-86,2.90702e-33,1.03371e-47
0.034,0.966668,1.00566e-47,3.45303e-86,4.90484e-62
0.0341,0.966572,1.89976e-52,2.34148e-57,1.08615e-95
0.0342,0.966475,3.85778e-57,2.00335e-52,1.58821e-47
0.0343,0.966378,2.00259e-76,3.6541e-86,1.90098e-52
0.0344,0.966282,4.25732e-86,7.75259e-72,2.40556e-57
0.0345,0.966185,1.00565e-47,6.74638e-67,7.69908e-43
0.0346,0.966088,9.05628e-43,3.69848e-57,7.40445e-38
0.0347,0.965992,3.22525e-86,5.15437e-62,3.22523e-86
0.0348,0.965895,2.90702e-33,7.98365e-72,2.90702e-33
0.0349,0.965799,3.85516e-86,5.20363e-90,3.65411e-86
0.035,0.965702,4.31927e-38,1.10791e-47,3.5728e-62
0.0351,0.965605,7.70924e-43,2.82793e-77,4.2733e-33
0.0352,0.965509,4.05624e-86,2.90702e-33,3.65409e-86
0.0353,0.965412,1.00565e-47,1.57712e-52,1.53451e-52
0.0354,0.965316,8.15939e-43,4.90484e-62,3.69702e-33
0.0355,0.965219,2.31943e-52,4.08658e+179,5.93971e-38
0.0356,0.965123,2.10898e-52,6.74351e-67,5.6415e-62
0.0357,0.965026,3.45301e-86,1.80641e-259,3.45303e-86
0.0358,0.96493,1.53451e-52,1.21736e-76,2.83067e-33
0.0359,0.964833,2.89881e-57,8.52613e-96,9.73929e-72
0.036,0.964737,3.22524e-86,4.08596e+179,1.30353e-76
0.0361,0.96464,2.90702e-33,3.93325e-62,1.58901e-47
0.0362,0.964544,3.45303e-86,8.52244e-96,5.87794e-62
0.0363,0.964447,2.34148e-57,3.11089e+179,8.98878e-96
0.0364,0.964351,2.00335e-52,6.00165e-67,2.94816e+179
0.0365,0.964255,3.6541e-86,1.04137e-42,1.5761e-52
0.0366,0.964158,7.75259e-72,1.57009e-76,7.85511e-67
0.0367,0.964062,6.74638e-67,8.05976e-96,8.0543e-96
0.0368,0.963965,3.69848e-57,3.27676e+179,1.65557e-47
0.0369,0.963869,5.15437e-62,1.74282e-76,8.97338e-67
0.037,0.963773,7.98365e-72,1.88676e-259,1.30456e-76
0.0371,0.963676,5.20363e-90,1.2177e-76,9.94466e-43
0.0372,0.96358,1.10791e-47,1.0867e-95,3.8559e-57
0.0373,0.963483,2.82793e-77,2.7905e+179,1.30353e-76
0.0374,0.963387,2.90702e-33,9.49764e-43,1.12913e-42
0.0375,0.963291,1.57712e-52,8.52427e-96,2.40556e-57
0.0376,0.963194,4.90484e-62,3.11531e+179,1.65428e-47
0.0377,0.963098,4.08658e+179,6.00165e-67,1.51872e-47
